ChCode,  Amount OB  ,  Principal Amount Due  
01PAFL2602-288," 1,197,090.50 "," 91,623.70 "
01PAFL2602-289," 854,794.70 "," 57,256.49 "
01PAFL2602-29," 1,014,066.94 "," 55,605.03 "
01PAFL2602-290," 1,137,000.00 "," 65,566.06 "
01PAFL2602-291," 911,688.71 "," 6,060.98 "
01PAFL2602-292," 931,096.52 "," 32,700.80 "
01PAFL2602-293," 945,933.96 "," 6,688.10 "
01PAFL2602-294," 471,094.06 "," 48,715.63 "
01PAFL2602-295," 348,385.31 "," 11,435.76 "
01PAFL2602-296," 893,303.72 "," 8,211.54 "
01PAFL2602-297," 231,268.55 ", 829.71 
01PAFL2602-298," 677,035.85 "," 11,332.16 "
01PAFL2602-299," 868,471.31 "," 11,461.96 "
01PAFL2602-3," 128,897.55 "," 6,963.57 "
01PAFL2602-30," 951,361.83 "," 26,586.59 "
01PAFL2602-300," 423,470.57 "," 2,025.85 "
01PAFL2602-301," 1,159,328.83 "," 18,795.91 "
01PAFL2602-302," 1,015,035.98 "," 55,930.33 "
01PAFL2602-303," 2,429,638.89 "," 51,560.52 "
01PAFL2602-304," 985,555.76 "," 54,410.21 "
01PAFL2602-305," 733,510.92 "," 39,045.70 "
01PAFL2602-306," 1,510,383.91 "," 14,106.98 "
01PAFL2602-307," 1,914,337.55 "," 19,282.45 "
